,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
54,53238218,21520240,43608743,89002462,41317216,19489450,19765493,32463928,81197870,36706456,32420749,73636469,93954599,53539923,ZbbdW
55,39351947,309058,85072472,19470179,69720237,55975374,389056,19993659,77321811,51627114,61840851,64290445,98827053,27261763,Ehpub
56,49419220,39775912,68179359,16580525,4042408,22498501,8667558,53926737,27935825,58125896,45336822,98746748,63884804,9186520,3s9Vd
57,35532261,19794732,57416792,59742175,35649726,85255385,69692718,88447737,80205519,12132344,44377164,77644739,87165202,48800442,Wppsp
58,50231185,76523890,5561038,67977533,58923569,85926525,51449755,68086279,44261393,8897418,2562315,59795150,2381777,14629491,wXM40
59,92900571,47347033,84349240,16907994,39488113,19364296,26394594,27227354,21881100,35300038,7573207,88932968,76106163,6893679,5dZuw
60,30489795,34710842,80354392,47806663,76988718,97993733,29339813,83793746,94562327,68204725,26613135,53332898,97286721,44780326,JeTSg
61,39203373,2771485,46570616,13301947,63282490,16161076,55340962,28616626,84398201,29650257,98623605,72560377,1396826,80060415,eSXIE
62,14932163,12412102,2648953,71964793,7515437,64207557,74599199,31671881,88039121,44728866,44123690,68222844,59940596,3167411,bfUgk
63,41974620,39889680,47533339,40259430,40692356,97018071,5890316,45567281,78470022,16020360,12418422,80350755,18638283,35987136,0Wbgy
64,84866016,93690906,85361855,50327614,60307803,60460827,25438464,12406224,26956236,34958641,7498599,11034486,91156168,19750683,vR0EC
65,51289668,74602178,56765751,44519429,10445577,82854531,23861495,86051529,97074480,88631085,57560301,15528105,13373229,83840510,A8JBE
66,34131113,85151771,19026898,55319696,13924746,27887621,81318542,58475395,32940013,92656158,45803236,64431615,98742832,14076294,CwE9D
67,17115017,14876948,57538792,4162138,75758947,80305625,98527947,90433850,18411401,72016965,20347613,54749248,73543778,6124909,sd3N7
68,66428111,5929065,32563352,15647766,94135509,51648708,82015816,55559456,63876383,51278743,17876414,57108943,56715792,26656266,TDeWl
69,37603442,17707842,65040382,85650354,97234296,50248724,78199094,94443722,56140087,51037325,15963359,59001305,20596795,73721384,182zy
70,88266377,67010130,90610294,99531995,19273546,77809724,58149934,42258876,70929587,73109711,77335111,73683344,94895157,30306223,CkdHL
71,88520087,67108782,5339710,3769037,32838629,61091223,25576700,53393699,92935324,36521563,87646362,45727128,34284518,27367200,F7yr6
72,47077911,665902,36898841,78147537,99893006,41963830,48300857,18467754,2682382,21828211,63606130,67516240,17712448,52099160,7wyBL
73,68767335,60252866,69407483,77307387,30131292,71608706,51842351,8292358,92854173,78892628,79888896,35832538,31994339,56813177,NMH7H
74,75112461,55854815,10334267,69654295,91989267,26523675,42223773,8437402,93439843,75183379,26681769,13232412,19125302,89031935,vMvNx
75,22221540,30264619,18372900,95428982,89252228,43766173,90744114,15587265,65148776,49244618,77848123,99584746,3759050,53786825,hV3iw
76,47983955,84650087,1016342,94867939,47772753,97278458,54016617,69993939,56276358,67699867,47554833,16453130,18448884,74118869,4BuEU
77,82132057,39661728,70788608,8639945,41551676,93671057,85361687,26827889,96256722,67838246,9364705,43467617,1006293,53172735,6b3vz
78,12935469,77360566,87661388,63742930,86785408,47991924,98539969,5848495,7735743,86874001,78688285,8564861,66235438,6466807,VajLF
79,34480886,63516872,86527503,6254591,78457946,51079629,67980080,31880517,24793226,54840494,24305545,28324504,36337191,9048739,3ZIzJ
80,23191320,88558281,53394940,1647314,63580563,36458957,25965057,32374116,76569514,85622286,86793898,94973248,84353492,96575874,ORoV8
81,96646030,99348997,87908321,83619237,4114256,20749009,4123791,79542997,40351482,70274148,71933182,79176066,71453195,68414386,vH6B4
82,44623172,49814952,4001492,13662191,66462374,89240371,17070447,30140695,28043316,55938278,14559142,27635725,86728172,43142058,NhwfD
83,28244928,82474831,65604208,49197435,62404150,63811718,53696930,9041583,6652519,65640384,76056330,23539002,28356555,99232839,PwY24
84,69408631,38946169,7124793,85779069,21946432,57126971,61435787,54226077,57585781,57329216,23058285,68299522,63355384,26235746,bz6ln
85,95101033,57182796,26943513,59896819,12053682,58707898,4955375,94632365,81343030,33642500,20522296,16463528,11537252,5716284,fEYVB
86,65810602,15784049,36137439,98460830,43211722,15510315,43726753,20792938,92381511,12060585,19190863,21712491,34821832,75738452,joAKF
87,55099429,97762952,52780269,47359428,20419744,95837191,89621995,40558393,1548587,24917709,47869799,88306598,93264001,83862495,luh2n
88,63749150,29424933,93883763,24244542,73585753,59846406,76758167,68168513,66853980,36464352,23246062,77676817,95642161,23014685,28lEI
89,19585065,50908680,25859685,49760308,32441859,61599570,11109409,72994384,87038582,88350651,52928990,59018730,90895229,11667134,3wzoh
90,69747395,88736429,55990340,5759542,4932245,84729146,84738733,17628516,96219925,24170152,95578928,41020333,17802987,95807070,HYjmc
91,42263157,35973277,66221180,84988268,65972253,11814277,63214611,95336466,32050891,23662374,88047872,96865281,33785200,64504298,vWsb3
92,42690998,4528565,38644449,45368869,26766595,5383994,86658203,26875730,78001971,28554630,33464723,23493092,34564912,9192345,VP2eH
93,18632847,32452926,24320787,37562285,90207529,98309051,71706865,32643963,44345635,48948451,72091061,87008215,98595632,63986348,FIqsV
94,7850408,18127586,84166650,65413283,76675957,26095971,19934219,80456435,84010327,68460562,78216037,39006564,12750071,15417699,SCVh4
95,29139562,33725709,27085201,44233304,24403478,65660628,3421906,1047953,1713296,20476093,33687488,14752149,22628877,56970808,TkrBt
96,81235571,18144012,26496036,59048766,73392341,83991448,23365962,57652705,34845233,63632744,35451621,9797442,84131695,90379790,ZFRgv
97,26561442,64331279,67621003,5313093,29960322,72199638,92741656,22329550,38730582,46091213,45650196,61847429,57147647,13618734,hjt5o
98,24282723,56893086,47369619,6691297,63208552,50999286,76307659,59132571,48110554,88690138,74125843,30340922,19061769,94525716,N2oDZ
99,1323458,61266852,29040631,16471097,22249468,50350331,47731221,44383660,17297828,31642050,3221127,97221926,14044649,67421211,4Bneu
100,5729940,2518939,21489236,87464294,25341239,90155266,29551746,69160507,26364626,32556362,13930311,99126955,93800554,76864510,Qzdra
101,24998725,44392551,30049708,72336694,24589989,63864653,78871086,35530678,20865551,29430992,68011513,26809010,68658334,8938455,svAiT
102,98584524,31161755,85649132,78853742,87220574,82253464,6324679,45671243,74838376,18194605,47578121,57589853,4329833,59946316,nrd3j
103,8785305,33998347,68853856,53696429,5312437,60414265,50523591,85662049,88720564,87824431,87097795,77898766,89657636,43407619,vmSCO
104,95395089,34536799,66390862,31198445,34458230,19234996,90058109,93299308,82961232,13079675,9734237,69652286,59315229,23445622,oyRN8
105,33682744,37467563,99825887,78384981,58021838,66191010,73096259,6080574,7520916,99475662,11459519,12384319,26802338,83830185,ZkYXf
106,98752473,87113988,36817893,59176234,29225134,61363698,78187614,6752786,89366965,98868701,54284670,96297614,65713131,57811554,fJjeZ
107,39504229,74015155,74622847,65585319,28119596,88578801,23046880,78414985,61680863,26851711,488554,65229099,38933526,64905975,LwJqg
108,81474179,7567300,20878652,71386304,43052585,18732063,44922156,61604093,40317281,44680374,47891893,49041966,97451026,89295218,7aJBQ
109,16335604,45243800,6977121,76546249,43297874,88248113,1369964,65877255,89558727,39300465,47574520,15830213,40203209,95644219,PwZtI
110,33096028,45276416,40377704,87467617,68939053,8296253,59913639,86104864,21677432,26698495,89465858,56767206,38975273,51264340,ky1u8
111,53747132,51078130,71958717,71211733,24831187,92165417,49489011,21342116,1278940,60839925,88934739,7145991,74357814,16844032,nSXNz
112,9012543,61128346,61463692,78818540,61721984,52126726,16016834,67874885,77187746,35895945,39546821,60219350,21689982,76596430,hdJy8
113,14291346,31963263,56709642,9214197,37027835,19374263,62398510,89911490,50953434,21401673,55132108,80855041,6720437,98184165,MdVWR
114,46905624,72367171,87070309,61188124,60287127,90165744,71489220,34000431,59503953,85061084,65760486,27495446,84107767,88050772,Em6Lf
115,37640122,72050927,18679951,42270137,66809733,82012015,80817123,86889898,82226906,3268137,40946226,80107751,73206776,30456630,6MDDq
116,50088259,79712059,41265355,95132531,51146078,2887317,2787964,81601226,18886388,37057672,50198588,45331867,86665493,5666657,Ntt30
117,97883764,61311409,80705247,18676120,75391446,69067811,97929811,15048874,28705904,1838594,18238490,76504601,1776487,63249272,vMfNL
118,42657915,80863063,30146721,53372652,27582528,92236268,90868806,29740973,73045504,48171502,11819102,13325772,70647700,62225452,5IbBN
119,93097003,59170775,82342837,54270159,60508972,4198786,80198272,81378723,2075495,53616910,13181557,9355079,36409985,37836318,tuNjf
120,5476517,57803359,58719337,36792769,63967690,77453129,56301268,69603449,54101690,61439029,26685622,58207171,19055879,77675418,hfc4v
121,60579787,71342429,11822896,22331152,60148840,87317034,94279084,48546228,73880814,42713322,71984247,42806211,86180250,23784265,IE4zK
122,38556597,55546556,79140053,54375668,19852886,18341004,19949083,69663637,91001319,20458995,92754456,16680824,43780670,26851809,Wjb6a
123,18048160,56993384,3663801,25720128,47591095,49820872,80283885,12995088,35762862,81622007,28639252,46228285,34768237,66517823,9R0o2
124,91816761,11419690,15865666,87877645,35892350,65875453,65648108,57241653,98490519,67075428,73461910,92937765,78774583,31355279,8LTTk
125,12857191,39095699,6565303,93249096,9809099,32539024,80621586,55773835,23769947,56329563,6854943,3594823,76212482,96188536,1Q2tI
126,75815739,79416228,73313870,66802380,86357589,55304550,74142812,11832696,1478596,98416053,62749944,85656309,42558427,58297196,2q2Ki
127,76986067,93883219,11460129,98820936,77804759,20201276,91714543,99685914,84720610,98925201,29163289,33040495,62739718,14096830,uMv9I
128,33284214,14654046,60673472,26206086,28961188,42952898,1798004,82154591,13131097,84012237,10422671,64476880,36627781,35303583,vmLWr
129,43045415,25958256,25684325,25414977,33099879,94445043,70112014,50641982,67616390,27405777,81217748,68730943,62190949,40287874,fBEbH
130,93741282,79057645,87267471,71047067,6299464,78392585,10922687,39737130,1473098,56678454,12839379,17417227,96215914,63023148,0bpm4
131,21415118,8572603,71930734,40283352,97506372,88582720,49474058,20056978,90490789,35739728,29854188,64853282,23462866,44771798,ctwDA
132,14163059,658331,26458015,77497962,31141836,62294039,67449435,75663078,73540510,17301499,2671644,23722972,50622634,37744744,ftjde
133,72800571,59387638,80937988,44319176,24774290,46868302,30699725,48943110,74708640,83399488,32700341,49395856,98068758,57088344,Yd0yq
134,19891483,35069642,52293273,95869000,26868172,33397879,14877765,81107564,88252544,48069772,52882371,34162476,47050067,23359528,xBHII
135,48071636,99596441,48962615,20388531,98608001,23361397,95956866,55028037,83385986,89588695,95811862,28502641,52711132,53910127,U0myT
136,82039865,12956772,41062313,9360905,70497627,74871638,44206500,32208654,57419816,21439448,2810158,11975602,48220922,54327763,cUbiG
137,53783043,15490860,87761047,17584112,16925013,40562757,16617761,22545680,18103544,5242363,56233228,98887645,82903496,17416256,OCyi2
138,76372718,12828555,71584479,22688656,85135164,19875649,43477884,25068249,68735729,54458234,14202378,7665355,1874608,85567250,Kn4if
139,99332884,80016127,86439854,62946450,74865917,93899703,19465942,27433037,23508965,94441116,49091266,3441145,32732553,75374599,eolFQ
140,99584200,66275482,68888987,23266064,4088346,70674476,15221876,33464728,76039923,10499262,37668367,43792615,36371148,92614188,XVvVt
141,17507474,3794461,75064144,84880347,31548424,58583587,19049892,95586693,60715031,38341258,94565006,53731951,53546141,22157807,dhBG8
142,13858489,41544475,75941373,64195077,16711574,35388334,90103566,93266771,84013777,63007717,27962319,5867844,31035736,24666258,ezTXT
143,36872174,20152283,89800757,48956197,994165,17543022,33210730,22111781,16922199,22763331,20010544,67955353,54819214,49004946,SDCrB
144,29905639,1523383,33427400,50815450,2991272,25980465,99620900,22120743,92194806,73511530,85398619,82484147,10322633,65874707,e8ANC
145,4178110,78837426,95549327,59795536,2657556,85635347,43815459,32220397,75419619,65211675,30203791,66056931,92361576,38294711,o88Xv
146,6568470,34061423,97322560,2028345,1702299,54289416,14606615,96693112,17925210,48012454,31117766,66315591,68634357,540275,kXQzf
147,21728380,83390530,37843821,35531789,47189385,61596372,75868186,26870562,32691003,98833820,29019835,4645411,94021313,23639536,iOxXF
148,23962065,66438141,3158635,68031572,26413987,67224958,21550711,30819899,49232894,13054143,81375796,18190634,35257900,40866644,z4JrB
149,99976352,6855213,63379343,87835467,37738901,1764005,4668228,32498120,72823762,23192449,17256876,72096035,55028845,59564916,eqTY1
150,13390224,54249758,52296836,12630538,3500362,17198611,56226644,67099302,37896517,75038716,64021273,15433036,1810248,32828114,pctSR
151,90689452,13592374,74342646,52388568,20939493,54620545,78269598,17798269,97636758,54807421,53327963,97754085,73692155,23012059,iAbD2
152,55679091,42606755,85231368,56668176,53828052,19328864,83319076,60598592,20188151,22973458,2609419,91237762,96329931,58482419,INV3R
153,80549441,45190905,63996139,37525876,63486606,23963771,91811700,46675331,49376796,5132706,76126256,54533460,67939445,56671897,xUM9r
154,97703634,35676947,78466925,71338519,52347860,23886643,80027746,70482945,78008058,20391507,48692037,87405495,65547955,80212392,9nP0F
155,2673115,63919482,69398521,63281495,67502815,26867881,62241546,69138143,74856852,71468988,70665927,65781867,1773681,83231320,IvsPS
156,15031502,97314755,81137449,73112039,83352305,17099453,35067334,49356277,40316542,58229831,40572716,18314961,99459517,12551849,fNZa1
157,23778786,94693653,55997371,19609197,15376955,94122730,71880946,80359209,15240951,26370101,39030324,92240143,15375479,71919234,HRZs0
158,45949689,95631786,8122130,88905987,43714858,11429241,15766668,6322865,83675380,49929207,59982270,42043643,52966385,3648577,EGg4D
159,95053254,52923113,44255790,82686327,9665896,82703086,31628440,47829941,82739314,87821318,62851008,19804759,74336315,23989995,JO9kY
160,66090662,75272639,89127997,31059606,88574067,358297,86639819,765040,17963823,8059591,93071944,71595628,73161989,11708756,H9rzd
161,21309687,22092683,60288961,83165042,28604429,35133911,21786631,57911251,89127515,30076638,16181230,87732087,66222936,54380479,ui4oH
162,50181271,27313680,38259429,67932243,81984657,22520521,68183869,24960583,97981666,67145021,24918170,22409875,29189404,14268695,rtZnl
163,9050133,53604164,80028465,98750395,23563204,22718200,71574333,48976674,18205645,55221125,51286733,79646020,52268440,64481276,xqAIg
164,63793882,58067162,17909082,40956664,21249351,88941820,56451634,57412122,35934762,38409798,95350652,78400891,51766655,61769160,V6kB7
165,89820217,85434964,64807735,7565675,25608693,35538771,9927726,54254994,43109091,63840043,75955541,39717581,32207043,55125095,3VA29
166,40549768,15835732,44854722,86507805,94778147,4722126,89739687,15317280,52753103,44494473,98624651,57969062,75174295,22668703,gJzev
167,70399369,96085083,6563917,34273369,58468543,72865398,61553349,8249554,75936330,55850388,10695101,91796701,86618119,5207804,eQZ0E
168,6206308,85563077,21715508,52821235,27485767,11707564,12043696,57539598,96298161,99737124,62913199,34697459,26679685,6334160,yaNrL
169,72669157,60285149,66239868,42419951,32694842,81103298,52488004,36851907,72367989,97833266,95712966,69416185,61774728,70337882,puT4X
170,14815258,69829006,94288216,86542067,11792104,31113011,18354027,60230124,30006581,47705061,96443162,48751638,27946091,81539606,Qi4SY
171,313608,51144595,26767446,51186776,13966149,56628858,39057658,40895430,27916981,51026220,86878414,81591665,90049835,65922239,UcoJT
172,19846041,9577628,74456175,78761444,42122307,12149985,25935757,27442355,72789318,64725266,28011589,34891730,9644769,41167466,HqOLA
173,40859159,91829378,79824951,35185824,12070423,9082227,72116807,62253684,20821897,58376541,74775441,68791051,74198444,13943799,s8JQP
174,38064093,16546048,12439299,18937766,93980610,73795506,66595512,62309463,1521685,96344140,96158218,97393602,54029114,20899578,Cgroh
175,69278744,89685101,27388860,78069723,14212293,77167306,93197058,25927061,38912645,80671740,23640609,24849531,38213775,81920252,ppExy
176,53626370,13502342,39156835,43531877,86807552,11546966,49633358,75820876,71194788,66467264,57284059,73953379,24953748,94691916,aVqY3
177,47382285,75724308,38402449,5979281,98365951,75747015,6278302,94729690,63384613,95640111,33448661,47799398,77024600,69811735,iVfAI
178,24420965,63429534,3828502,89461665,64856416,44036972,54753300,29432073,65101398,72073912,26140872,93112373,57483952,48519277,wza3d
179,13930322,59092060,75959465,98467669,9679035,98452877,98505301,58381027,1169241,36382451,51717754,24527091,69051206,53200388,0yY66
180,82033631,82971332,9189010,75121698,62353627,77209667,21395745,88359005,12221282,31253894,56432718,92978629,55521096,65706073,zXEjR
181,69212450,28153352,7606078,41287409,12704669,61357623,62282135,45924453,19474217,72230630,3980768,88821030,6394387,62404700,eK9nl
182,35841274,78109146,93012916,84146189,58108122,79818430,35869464,22713048,30881885,23474961,78427395,93334986,75895958,48694081,v1kU6
183,59899516,57122334,3497299,85445786,9109474,82898028,36897564,9228819,1074175,43471169,45156415,47450450,57904428,83611254,rvHpg
184,3304019,17873435,77767628,34038812,123725,15451289,49859118,7754979,6195116,62690817,14814620,27648440,48999615,31997391,QP5uo
185,25967673,47702375,7260864,70857233,88553152,10330236,80574079,63217844,29611383,66669910,46232922,22463571,77502082,53678053,36M3q
186,24792150,48589791,98019764,42114174,40437990,24213439,75391948,37304155,71111093,88358308,37277848,71108812,65177558,39356435,xmS1e
187,42110977,74113517,19852787,98072261,71398895,21050008,369063,82154417,74691745,20894907,16370431,89788842,26640987,16858879,BWXu8
188,54259925,18540821,2253526,11178203,54909690,92552136,49495019,78719407,12816041,30222400,42035976,43340958,13123774,49952556,8lDL8
189,68464186,38617154,55148179,43468869,29213535,92561822,14143543,92267346,70638315,39994121,31746718,84835593,43797308,13383163,A5iwx
190,3498850,58607139,45204625,57839107,26729470,53107575,53967919,22304782,67846716,41935261,39129800,50995010,89668568,79482192,MG74O
191,32644874,82987133,88807545,84613997,82361716,57330743,4636658,28219290,61720350,49958739,66653695,97021240,70338297,32746876,HL06u
192,49775963,85722550,3305275,17381849,86364715,42955513,1471657,68090369,49608408,68985877,8512926,77057669,36362574,80817993,RcllQ
193,23573758,77791160,54121361,70341957,59911306,12223201,26929462,45298637,41595202,19249943,16010219,4766416,35022360,7003937,C9sWd
194,49024508,5767501,30328270,91385515,22806386,1463454,73505450,53989071,88512276,2976250,13073993,9099852,21697621,6971065,Xuak7
195,40606009,46955556,36456394,23201079,22620856,63292650,29445304,94429320,56862433,61946883,56346986,21969362,27797230,10897295,omXOG
196,57427432,79679333,10776951,91134148,8187598,95439064,51856748,84931015,39585642,23905889,73114240,93388846,69523211,21357224,746MB
197,7876957,80546926,57278048,40692146,42113544,4124118,23069396,22358349,74755405,64246270,23062425,12697429,32821203,26744693,7AOLR
198,50073514,61096821,60521593,48367308,95472956,75219093,13349971,97252873,25033837,1869060,30326480,94871361,11113360,36184959,Cwizv
199,91854511,25056018,52544637,14796297,34850564,37219907,41358709,20121272,65554581,43227565,18875783,36957561,5813978,22538602,F4cp5
200,5584305,68709381,76837532,4302412,77528570,95667478,85603131,72811911,8496835,49157430,77745382,36845683,23261404,65938441,SZvQG
201,69982257,85591836,25992761,75125557,96663397,91910010,9055062,36550069,45437008,71342571,80742811,60370228,4887871,72265471,4e6hp
202,49710805,5171266,28075174,75533028,29349275,29229193,81711371,65526184,56154181,47974980,5865824,38123417,33538076,23339729,3nWji
203,99617592,27390037,5592753,91251926,15666977,69724255,23175697,75872352,69305529,76239428,41195922,73440207,69841323,23673381,lGrrO
204,89144596,82642160,91619134,89684636,16602811,42489946,2088338,91908665,27275921,92275024,1550352,59585654,27999259,86813171,B4cfd
205,69821484,52108959,14492324,22884584,18995435,72101191,93290278,69666366,3578849,43616485,64218598,72378855,20379741,46233902,x2BHf
206,84795942,17000367,4168269,91025837,77559315,55553392,15009601,44065406,60457730,7023499,29693980,33778988,80183881,32722878,RjXVF
207,9714307,73291881,85098961,79645867,60904482,95653974,56535485,58290230,29778576,25125441,32144127,10826599,55237014,73917484,dkdvh
208,68037315,6059869,78765003,59803624,77249120,26035678,43182569,74970742,44960881,14001761,97553414,94653880,8269406,63299866,O7n9v
209,20854732,83274319,84993174,44273934,60263590,80854775,67959977,71261124,27021860,48765277,24586707,71885570,79938615,7806042,xG6Pa
210,61257297,77655935,20546183,50044254,71051475,29196597,75617231,20955635,28054730,70204036,42669162,1629955,51059696,80687173,LMhDq
211,62810084,56553230,24749264,93745611,79976302,57482319,47716194,53461547,35068307,55494047,75064544,35171750,14283814,83766766,UjpE1
212,11715598,69385601,68168834,43853158,75544922,2719483,69777433,15787665,72215751,7011597,34341602,44451127,25033860,9365952,cpuR5
213,98201121,85082276,80125013,66228195,88451940,86631585,39914319,83324423,5385840,36443033,28304164,214803,42903325,21245855,GMMtk
214,24140105,64863290,90548283,20055645,10069197,79092293,74615094,26539305,52748947,75674696,11146984,18091367,15044548,50277801,5nn5L
215,42904524,31902376,10372074,81390204,33112576,62454012,70903419,8124461,85819078,33011966,87632921,94158360,96142087,18860726,Nm1Yv
216,83284084,60238126,21517849,82551053,27403121,18188572,45228519,54571867,91036852,52684062,82622135,84354518,39075276,32286451,w7tMy
